,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
108,16.05.2017,D,W,D,W,D,D,W,W,W,L,L,L,D,D,D,W,L,D,D,W,W,W,W
109,17.05.2017,L,W,L,L,W,W,L,L,W,W,L,L,W,L,W,L,W,L,L,L,L,L,L
110,18.05.2017,D,D,L,L,W,L,D,D,L,L,D,D,W,W,W,L,L,L,L,D,L,L,L
111,19.05.2017,D,W,D,L,L,W,L,W,L,W,L,L,D,D,D,W,W,L,L,L,L,L,D
113,22.05.2017,W,L,W,W,L,L,W,W,W,W,W,W,W,W,D,W,W,L,L,L,W,W,W
114,23.05.2017,W,L,L,L,L,L,L,D,L,L,L,L,W,W,W,L,L,L,W,L,D,W,L
115,24.05.2017,W,L,W,W,D,D,D,L,L,L,W,L,L,W,W,L,L,W,D,W,W,L,L
116,25.05.2017,W,W,D,W,W,D,L,L,L,D,W,L,W,L,L,W,W,W,D,D,W,L,L
117,26.05.2017,W,D,L,D,L,L,W,D,D,D,D,L,W,L,D,W,D,W,L,D,D,D,D
119,29.05.2017,D,L,L,W,W,W,D,W,W,L,L,L,W,L,W,L,W,L,L,W,L,D,D
120,30.05.2017,W,W,L,L,W,L,W,W,W,W,D,L,L,W,L,W,L,W,L,W,W,W,W
121,31.05.2017,L,D,L,L,W,W,W,L,W,W,W,W,L,L,W,W,W,L,L,L,L,L,L
122,01.06.2017,W,L,W,D,L,L,L,D,L,L,L,L,L,D,L,D,D,L,W,W,L,W,L
123,02.06.2017,L,D,D,W,W,L,L,L,L,W,D,L,L,W,L,W,W,L,L,D,L,W,W
125,05.06.2017,L,D,L,L,L,W,W,D,L,W,W,L,L,D,D,W,L,L,L,L,L,W,L
126,06.06.2017,L,D,L,W,W,W,L,W,W,W,L,W,W,L,D,W,W,D,L,L,L,L,D
127,07.06.2017,L,D,L,D,L,W,W,L,L,W,W,L,W,W,L,W,L,W,W,W,W,D,D
128,08.06.2017,D,L,W,D,W,L,W,D,D,L,D,W,L,W,W,L,D,D,W,D,W,W,W
129,09.06.2017,D,D,L,D,W,L,L,W,W,L,W,L,W,L,L,W,D,W,L,W,D,W,D
131,12.06.2017,L,D,L,L,L,L,D,D,W,W,L,W,W,L,D,D,D,L,L,L,D,D,L
132,13.06.2017,L,W,W,L,L,W,L,D,L,W,L,L,L,W,W,W,L,L,W,W,W,D,W
