,Dates,EURCHF,AUDJPY,EURAUD,GBPCAD,SGDJPY,NZDUSD,USDCHF,USDJPY,EURUSD,USDCAD,USDSGD
306,03.01.2018,,,,,,,,,,,
307,04.01.2018,,,,,,,,,,,
308,05.01.2018,,,,,,,,,,,
309,06.01.2018,,,,,,,,,,,
310,08.01.2018,,,,,,,,,,,
311,09.01.2018,,,,,,,,,,,
312,10.01.2018,,,,,,,,,,,
313,11.01.2018,,,,,,,,,,,
314,12.01.2018,,,,,,,,,,,
315,13.01.2018,,,,,,,,,,,
316,15.01.2018,,,,,,,,,,,
317,16.01.2018,,,,,,,,,,,
318,17.01.2018,,,,,,,,,,,
319,18.01.2018,,,,,,,,,,,
320,19.01.2018,,,,,,,,,,,
321,20.01.2018,,,,,,,,,,,
322,22.01.2018,,,,,,,,,,,
323,23.01.2018,,,,,,,,,,,
324,24.01.2018,,,,,,,,,,,
325,25.01.2018,,,,,,,,,,,
326,26.01.2018,,,,,,,,,,,
327,27.01.2018,,,,,,,,,,,
328,29.01.2018,,,,,,,,,,,
329,30.01.2018,,,,,,,,,,,
330,31.01.2018,,,,,,,,,,,
331,01.02.2018,,,,,,,,,,,
332,02.02.2018,,,,,,,,,,,
333,03.02.2018,,,,,,,,,,,
334,05.02.2018,,,,,,,,,,,
335,06.02.2018,,,,,,,,,,,
336,07.02.2018,,,,,,,,,,,
337,08.02.2018,,,,,,,,,,,
338,09.02.2018,,,,,,,,,,,
339,10.02.2018,,,,,,,,,,,
340,12.02.2018,,,,,,,,,,,
341,13.02.2018,,,,,,,,,,,
342,14.02.2018,,,,,,,,,,,
343,15.02.2018,,,,,,,,,,,
344,16.02.2018,,,,,,,,,,,
345,17.02.2018,,,,,,,,,,,
346,19.02.2018,,,,,,,,,,,
347,20.02.2018,,,,,,,,,,,
348,21.02.2018,,,,,,,,,,,
349,22.02.2018,,,,,,,,,,,
350,23.02.2018,,,,,,,,,,,
351,24.02.2018,,,,,,,,,,,
352,26.02.2018,,,,,,,,,,,
353,27.02.2018,,,,,,,,,,,
354,28.02.2018,,,,,,,,,,,
355,01.03.2018,,,,,,,,,,,
356,02.03.2018,,,,,,,,,,,
357,03.03.2018,,,,,,,,,,,
358,05.03.2018,,,,,,,,,,,
359,06.03.2018,,,,,,,,,,,
360,07.03.2018,,,,,,,,,,,
361,08.03.2018,,,,,,,,,,,
362,09.03.2018,,,,,,,,,,,
363,10.03.2018,,,,,,,,,,,
364,12.03.2018,,,,,,,,,,,
365,13.03.2018,,,,,,,,,,,
366,14.03.2018,,,,,,,,,,,
367,15.03.2018,,,,,,,,,,,
368,16.03.2018,,,,,,,,,,,
369,17.03.2018,,,,,,,,,,,
370,19.03.2018,,,,,,,,,,,
371,20.03.2018,,,,,,,,,,,
372,21.03.2018,,,,,,,,,,,
373,22.03.2018,,,,,,,,,,,
374,23.03.2018,,,,,,,,,,,
375,24.03.2018,,,,,,,,,,,
376,26.03.2018,,,,,,,,,,,
377,27.03.2018,,,,,,,,,,,
378,28.03.2018,,,,,,,,,,,
379,29.03.2018,,,,,,,,,,,
380,30.03.2018,,,,,,,,,,,
381,31.03.2018,,,,,,,,,,,
382,02.04.2018,,,,,,,,,,,
383,03.04.2018,,,,,,,,,,,
384,04.04.2018,,,,,,,,,,,
385,05.04.2018,,,,,,,,,,,
386,06.04.2018,,,,,,,,,,,
387,07.04.2018,,,,,,,,,,,
388,09.04.2018,,,,,,,,,,,
389,10.04.2018,,,,,,,,,,,
390,11.04.2018,,,,,,,,,,,
391,12.04.2018,,,,,,,,,,,
392,13.04.2018,,,,,,,,,,,
393,14.04.2018,,,,,,,,,,,
394,16.04.2018,,,,,,,,,,,
395,17.04.2018,,,,,,,,,,,
396,18.04.2018,,,,,,,,,,,
397,19.04.2018,,,,,,,,,,,
398,20.04.2018,,,,,,,,,,,
399,21.04.2018,,,,,,,,,,,
400,23.04.2018,,,,,,,,,,,
401,24.04.2018,,,,,,,,,,,
402,25.04.2018,,,,,,,,,,,
403,26.04.2018,,,,,,,,,,,
404,27.04.2018,,,,,,,,,,,
405,28.04.2018,,,,,,,,,,,
406,30.04.2018,,,,,,,,,,,
407,01.05.2018,,,,,,,,,,,
408,02.05.2018,,,,,,,,,,,
409,03.05.2018,,,,,,,,,,,
410,04.05.2018,,,,,,,,,,,
411,05.05.2018,,,,,,,,,,,
412,07.05.2018,,,,,,,,,,,
413,08.05.2018,,,,,,,,,,,
414,09.05.2018,,,,,,,,,,,
415,10.05.2018,,,,,,,,,,,
416,11.05.2018,,,,,,,,,,,
417,12.05.2018,,,,,,,,,,,
418,14.05.2018,,,,,,,,,,,
419,15.05.2018,,,,,,,,,,,
420,16.05.2018,,,,,,,,,,,
421,17.05.2018,,,,,,,,,,,
422,18.05.2018,,,,,,,,,,,
423,19.05.2018,,,,,,,,,,,
424,21.05.2018,,,,,,,,,,,
425,22.05.2018,,,,,,,,,,,
426,23.05.2018,,,,,,,,,,,
427,24.05.2018,,,,,,,,,,,
428,25.05.2018,,,,,,,,,,,
429,26.05.2018,,,,,,,,,,,
430,28.05.2018,,,,,,,,,,,
431,29.05.2018,,,,,,,,,,,
432,30.05.2018,,,,,,,,,,,
433,31.05.2018,,,,,,,,,,,
434,01.06.2018,,,,,,,,,,,
435,02.06.2018,,,,,,,,,,,
436,04.06.2018,,,,,,,,,,,
437,05.06.2018,,,,,,,,,,,
438,06.06.2018,,,,,,,,,,,
439,07.06.2018,,,,,,,,,,,
440,08.06.2018,,,,,,,,,,,
441,09.06.2018,,,,,,,,,,,
442,11.06.2018,,,,,,,,,,,
443,12.06.2018,,,,,,,,,,,
444,13.06.2018,,,,,,,,,,,
445,14.06.2018,,,,,,,,,,,
446,15.06.2018,,,,,,,,,,,
447,16.06.2018,,,,,,,,,,,
448,18.06.2018,,,,,,,,,,,
449,19.06.2018,,,,,,,,,,,
450,20.06.2018,,,,,,,,,,,
451,21.06.2018,,,,,,,,,,,
452,22.06.2018,,,,,,,,,,,
453,23.06.2018,,,,,,,,,,,
454,25.06.2018,,,,,,,,,,,
455,26.06.2018,,,,,,,,,,,
456,27.06.2018,,,,,,,,,,,
457,28.06.2018,,,,,,,,,,,
458,29.06.2018,,,,,,,,,,,
459,30.06.2018,,,,,,,,,,,
460,02.07.2018,,,,,,,,,,,
461,03.07.2018,,,,,,,,,,,
462,04.07.2018,,,,,,,,,,,
463,05.07.2018,,,,,,,,,,,
464,06.07.2018,,,,,,,,,,,
465,07.07.2018,,,,,,,,,,,
466,09.07.2018,,,,,,,,,,,
467,10.07.2018,,,,,,,,,,,
468,11.07.2018,,,,,,,,,,,
469,12.07.2018,,,,,,,,,,,
470,13.07.2018,,,,,,,,,,,
471,14.07.2018,,,,,,,,,,,
472,16.07.2018,,,,,,,,,,,
473,17.07.2018,,,,,,,,,,,
474,18.07.2018,,,,,,,,,,,
475,19.07.2018,,,,,,,,,,,
476,20.07.2018,,,,,,,,,,,
477,21.07.2018,,,,,,,,,,,
478,23.07.2018,,,,,,,,,,,
479,24.07.2018,,,,,,,,,,,
480,25.07.2018,,,,,,,,,,,
481,26.07.2018,,,,,,,,,,,
482,27.07.2018,,,,,,,,,,,
483,28.07.2018,,,,,,,,,,,
484,30.07.2018,,,,,,,,,,,
485,31.07.2018,,,,,,,,,,,
486,01.08.2018,,,,,,,,,,,
487,02.08.2018,,,,,,,,,,,
488,03.08.2018,,,,,,,,,,,
489,04.08.2018,,,,,,,,,,,
490,06.08.2018,,,,,,,,,,,
491,07.08.2018,,,,,,,,,,,
492,08.08.2018,,,,,,,,,,,
493,09.08.2018,,,,,,,,,,,
494,10.08.2018,,,,,,,,,,,
495,11.08.2018,,,,,,,,,,,
496,13.08.2018,,,,,,,,,,,
497,14.08.2018,,,,,,,,,,,
498,15.08.2018,,,,,,,,,,,
499,16.08.2018,,,,,,,,,,,
500,17.08.2018,,,,,,,,,,,
501,18.08.2018,,,,,,,,,,,
502,20.08.2018,,,,,,,,,,,
503,21.08.2018,,,,,,,,,,,
504,22.08.2018,,,,,,,,,,,
505,23.08.2018,,,,,,,,,,,
506,24.08.2018,,,,,,,,,,,
507,25.08.2018,,,,,,,,,,,
508,27.08.2018,,,,,,,,,,,
509,28.08.2018,,,,,,,,,,,
510,29.08.2018,,,,,,,,,,,
511,30.08.2018,,,,,,,,,,,
512,31.08.2018,,,,,,,,,,,
513,01.09.2018,,,,,,,,,,,
514,03.09.2018,,,,,,,,,,,
515,04.09.2018,,,,,,,,,,,
